year,competition_uuid,awards_endpoint,retrieved_on,sha256,competitions_sha256,results_snapshot,competitions_snapshot
2025,d615db72-738d-47c0-a929-fbdeb4882fc0,https://api.igem.org/v1/competitions/d615db72-738d-47c0-a929-fbdeb4882fc0/awards/results,2026-09-09,bb59685321d027a2e50c68eef4fe553e301d2ca3509f14d1d711ed23d58f621a,96eb8afc45238c73891a0079c97d2a4e8a7e4c25c02c68f1cb0aaecc974d206c,corpus/snapshots/igem-results-2025.json,corpus/snapshots/igem-competitions.json
2024,5198bd74-a6bc-482d-bf02-d0f7dc5f33c7,https://api.igem.org/v1/competitions/5198bd74-a6bc-482d-bf02-d0f7dc5f33c7/awards/results,2026-09-09,bb45f68026aa25729c23f1af29061edf07ec7f1e5bfb5ed4d0242693ba828336,96eb8afc45238c73891a0079c97d2a4e8a7e4c25c02c68f1cb0aaecc974d206c,corpus/snapshots/igem-results-2024.json,corpus/snapshots/igem-competitions.json
2023,d7dab5d6-eedb-40ed-8b50-ffbcb2053851,https://api.igem.org/v1/competitions/d7dab5d6-eedb-40ed-8b50-ffbcb2053851/awards/results,2026-09-09,8bca21ae2b411cf5ef4a924195994a2d57492090ab77b752567a54fe4be58984,96eb8afc45238c73891a0079c97d2a4e8a7e4c25c02c68f1cb0aaecc974d206c,corpus/snapshots/igem-results-2023.json,corpus/snapshots/igem-competitions.json
2022,3a8e556f-e347-4b47-8d0e-9b697f49fba5,https://api.igem.org/v1/competitions/3a8e556f-e347-4b47-8d0e-9b697f49fba5/awards/results,2026-09-09,0cf068b4feb4d38146c5a7023ddc7aed31123a9873ba2f94683aec02fc0faa91,96eb8afc45238c73891a0079c97d2a4e8a7e4c25c02c68f1cb0aaecc974d206c,corpus/snapshots/igem-results-2022.json,corpus/snapshots/igem-competitions.json
2021,9700650d-5b53-4003-affa-61f2bf096632,https://api.igem.org/v1/competitions/9700650d-5b53-4003-affa-61f2bf096632/awards/results,2026-09-09,aadca335f8de65e6809e8152e40135a109f16fe819f2c1dbc5891a75b5058f4c,96eb8afc45238c73891a0079c97d2a4e8a7e4c25c02c68f1cb0aaecc974d206c,corpus/snapshots/igem-results-2021.json,corpus/snapshots/igem-competitions.json
